Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 4;MANABI;MANTA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;4/10/2019;HOMBRE;38;ECUATORIANO
ZONA 7;EL ORO;HUAQUILLAS;BOLETA DE APREMIO;4/10/2019;HOMBRE;37;ECUATORIANO
ZONA 4;MANABI;TOSAGUA;LESIONES;4/10/2019;HOMBRE;21;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;LESIONES;4/10/2019;HOMBRE;37;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;30;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE AUXILIO;4/10/2019;HOMBRE;27;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;35;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;16;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;23;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;DAÑO A BIEN AJENO;5/10/2019;MUJER;41;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;4/10/2019;HOMBRE;41;ECUATORIANO
ZONA 5;GUAYAS;BALAO;PARALIZACIÓN DE UN SERVICIO PÚBLICO;4/10/2019;MUJER;26;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;4/10/2019;HOMBRE;34;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;36;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;MUJER;44;ECUATORIANO
ZONA 6;MORONA SANTIAGO;MORONA;BOLETA DE APREMIO;4/10/2019;HOMBRE;36;ECUATORIANO
ZONA 1;ESMERALDAS;ESMERALDAS;ROBO A PERSONAS;4/10/2019;HOMBRE;37;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;ROBO A PERSONAS;5/10/2019;HOMBRE;24;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;31;VENEZOLANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;27;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;CONTRAVENCIONES DE SEGUNDA CLASE;4/10/2019;HOMBRE;34;ECUATORIANO
ZONA 5;LOS RIOS;BUENA FE;BOLETA DE APREMIO;4/10/2019;HOMBRE;33;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;DAÑO A BIEN AJENO;5/10/2019;HOMBRE;46;ECUATORIANO
