Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 5;GUAYAS;EMPALME;VARIOS;19/6/2017;FLAGRANTE;MUJER;34;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;HURTO;19/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 3;TUNGURAHUA;SANTIAGO DE PILLARO;VARIOS;19/6/2017;BOLETA;HOMBRE;32;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;21;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;44;ECUATORIANA
ZONA 4;MANABI;JIPIJAPA;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;59;ECUATORIANA
ZONA 5;GUAYAS;NARANJAL;ROBO DOMICILIO;19/6/2017;FLAGRANTE;HOMBRE;28;ECUATORIANA
ZONA 9;DMQ;QUITO;ATENTADO AL PUDOR;19/6/2017;FLAGRANTE;HOMBRE;35;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;55;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;ROBO DE BIENES
ZONA 4;MANABI;JARAMIJO;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 5;GALAPAGOS;SANTA CRUZ;HURTO;19/6/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;19/6/2017;BOLETA;HOMBRE;25;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;57;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;MUJER;56;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;50;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;BOLETA;HOMBRE;50;ECUATORIANA
ZONA 3;COTOPAXI;LATACUNGA;VARIOS;19/6/2017;BOLETA;HOMBRE;24;ECUATORIANA
ZONA 2;ORELLANA;PUERTO FRANCISCO DE ORELLANA;REBELION Y ATENTADO;19/6/2017;FLAGRANTE;HOMBRE;44;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HURTO;19/6/2017;FLAGRANTE;HOMBRE;22;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;TENTATIVA DE ROBO;19/6/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;18;ECUATORIANA
ZONA 9;DMQ;QUITO;ATENTADO AL PUDOR;19/6/2017;FLAGRANTE;HOMBRE;37;ECUATORIANA
ZONA 3;CHIMBORAZO;COLTA;VARIOS;19/6/2017;BOLETA;HOMBRE;21;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;59;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;25;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 5;GUAYAS;MILAGRO;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;20;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;RECEPTACION;19/6/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;VARIOS;19/6/2017;FLAGRANTE;MUJER;36;ECUATORIANA
ZONA 6;AZUAY;CUENCA;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;24;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;EL PANGUI;VARIOS;19/6/2017;BOLETA;HOMBRE;41;ECUATORIANA
ZONA 7;LOJA;LOJA;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 5;LOS RIOS;VINCES;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 5;GUAYAS;PALESTINA;VARIOS;19/6/2017;BOLETA;HOMBRE;38;ECUATORIANA
ZONA 5;GUAYAS;PLAYAS;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;23;ECUATORIANA
ZONA 8;DMG;DURAN;VARIOS;19/6/2017;BOLETA;HOMBRE;25;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;RECEPTACION;19/6/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;MUJER;50;ECUATORIANA
ZONA 8;DMG;DURAN;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;50;ECUATORIANA
ZONA 4;MANABI;PORTOVIEJO;VARIOS;19/6/2017;BOLETA;HOMBRE;22;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VARIOS;19/6/2017;FLAGRANTE;HOMBRE;16;ECUATORIANA
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 4;MANABI;PORTOVIEJO;VIOLACION;19/6/2017;FLAGRANTE;HOMBRE;15;ECUATORIANA
ZONA 6;AZUAY;CUENCA;VARIOS;19/6/2017;BOLETA;HOMBRE;34;ECUATORIANA
ZONA 5;LOS RIOS;BUENA FE;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;43;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;19/6/2017;BOLETA;HOMBRE;30;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;VARIOS;19/6/2017;BOLETA;HOMBRE;54;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;41;ECUATORIANA
ZONA 7;EL ORO;HUAQUILLAS;ROBO A PERSONAS;19/6/2017;FLAGRANTE;HOMBRE;;PERUANA
ZONA 3;TUNGURAHUA;SANTIAGO DE PILLARO;HERIDAS/LESIONES;19/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 6;AZUAY;CUENCA;MICROTRAFICO;19/6/2017;FLAGRANTE;MUJER;32;ECUATORIANA
ZONA 6;AZUAY;CUENCA;MICROTRAFICO;19/6/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;19/6/2017;BOLETA;HOMBRE;32;ECUATORIANA
ZONA 5;BOLIVAR;GUARANDA;VARIOS;19/6/2017;BOLETA;HOMBRE;37;ECUATORIANA
