Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 7;LOJA;CATAMAYO;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;44;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;36;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;OTROS ROBOS;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 5;SANTA ELENA;LA LIBERTAD;VARIOS;1/1/2017;BOLETA;HOMBRE;33;ECUATORIANA
ZONA 3;PASTAZA;MERA;VIOLACION;1/1/2017;FLAGRANTE;HOMBRE;19;ECUATORIANA
ZONA 6;CAÑAR;LA TRONCAL;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;MUJER;16;ECUATORIANA
ZONA 3;TUNGURAHUA;AMBATO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;30;ECUATORIANA
ZONA 8;DMG;GUAYAQUIL;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;39;ECUATORIANA
ZONA 7;EL ORO;PIÑAS;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 4;MANABI;EL CARMEN;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;50;ECUATORIANA
ZONA 7;ZAMORA CHINCHIPE;ZAMORA;VARIOS;1/1/2017;BOLETA;HOMBRE;35;ECUATORIANA
ZONA 1;ESMERALDAS;RIOVERDE;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;29;ECUATORIANA
ZONA 5;GALAPAGOS;SANTA CRUZ;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;40;ECUATORIANA
ZONA 2;ORELLANA;LA JOYA DE LOS SACHAS;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;;COLOMBIANA
ZONA 3;CHIMBORAZO;RIOBAMBA;VARIOS;1/1/2017;BOLETA;HOMBRE;;ECUATORIANA
ZONA 3;CHIMBORAZO;CHUNCHI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;LA CONCORDIA;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;41;ECUATORIANA
ZONA 4;MANABI;PORTOVIEJO;ROBO A PERSONAS;1/1/2017;FLAGRANTE;HOMBRE;33;ECUATORIANA
ZONA 2;PICHINCHA;MEJIA;INVASIONES/ALLANAMIENTO;1/1/2017;FLAGRANTE;HOMBRE;27;ECUATORIANA
ZONA 7;LOJA;CATAMAYO;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;26;ECUATORIANA
ZONA 7;LOJA;CATAMAYO;REBELION Y ATENTADO;1/1/2017;FLAGRANTE;HOMBRE;;ECUATORIANA
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;31;ECUATORIANA
ZONA 3;COTOPAXI;LA MANA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;54;ECUATORIANA
ZONA 7;LOJA;LOJA;VARIOS;1/1/2017;BOLETA;HOMBRE;26;ECUATORIANA
ZONA 1;CARCHI;MIRA;VARIOS;1/1/2017;FLAGRANTE;HOMBRE;21;ECUATORIANA
ZONA 6;CAÑAR;CAÑAR;VARIOS;1/1/2017;BOLETA;HOMBRE;29;ECUATORIANA
ZONA 9;DMQ;QUITO;VARIOS;1/1/2017;BOLETA;HOMBRE;25;ECUATORIANA
ZONA 1;SUCUMBIOS;SHUSHUFINDI;HERIDAS/LESIONES;1/1/2017;FLAGRANTE;HOMBRE;31;ECUATORIANA
