Zona;Subzona;Cantón;presunta_subinfraccion;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 3;COTOPAXI;LATACUNGA;LESIONES CAUSADAS POR ACCIDENTE DE TRÁNSITO;2/9/2020;HOMBRE;59;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;29/10/2020;HOMBRE;40;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;29/1/2020;HOMBRE;40;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE APREMIO;26/10/2020;HOMBRE;53;ECUATORIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;ATAQUE O RESISTENCIA;5/2/2020;HOMBRE;21;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;11/3/2020;HOMBRE;31;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;25/5/2020;HOMBRE;23;ECUATORIANO
ZONA 4;MANABI;MANTA;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;20/7/2020;HOMBRE;36;ECUATORIANO
ZONA 6;AZUAY;CUENCA;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;22/7/2020;HOMBRE;47;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;17/1/2020;HOMBRE;61;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;PAQUISHA;CONTRAVENCIONES DE TRÁNSITO DE PRIMERA CLASE;4/8/2020;HOMBRE;26;ECUATORIANO
ZONA 8;DMG;DURAN;ROBO A PERSONAS;19/11/2020;HOMBRE;19;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;1/11/2020;HOMBRE;24;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;8/1/2020;HOMBRE;51;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;1/11/2020;HOMBRE;28;ECUATORIANO
ZONA 6;AZUAY;CUENCA;CONTRAVENCIONES DE PRIMERA CLASE;13/9/2020;HOMBRE;36;ECUATORIANO
ZONA 7;LOJA;CATAMAYO;VIOLENCIA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;18/5/2020;MUJER;31;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;SUPLANTACIÓN DE IDENTIDAD;2/2/2020;HOMBRE;33;DOMINICANO
ZONA 1;SUCUMBIOS;SHUSHUFINDI;INCUMPLIMIENTO DE DECISIONES LEGÍTIMAS DE AUTORIDAD COMPETENTE;21/3/2020;HOMBRE;22;ECUATORIANO
