Zona;Subzona;Cantón;Presunta_Subinfracción;Fecha de Detención;Sexo;Edad;Nacionalidad
ZONA 5;GUAYAS;NARANJITO;NOVEDADES;12/2/2019;HOMBRE;15;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;21/1/2019;HOMBRE;30;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;BOLETA DE APREMIO;12/2/2019;HOMBRE;35;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;PATRULLAJES Y OPERATIVOS;9/1/2019;HOMBRE;30;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;ROBO A PERSONAS;26/2/2019;HOMBRE;32;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;CONTRAVENCIONES DE CUARTA CLASE;4/2/2019;MUJER;SIN DATO;VENEZOLANO
ZONA 8;DMG;GUAYAQUIL;HOMICIDIO;12/1/2019;HOMBRE;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;VIOLENCIA SEXUAL CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;5/2/2019;HOMBRE;29;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;BOLETA DE APREMIO;24/1/2019;HOMBRE;32;ECUATORIANO
ZONA 3;PASTAZA;PASTAZA;NOVEDADES;14/2/2019;MUJER;SIN DATO;COLOMBIANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;8/1/2019;HOMBRE;16;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;NOVEDADES;2/3/2019;HOMBRE;21;ECUATORIANO
ZONA 4;MANABI;MANTA;ROBO DE MOTOS;22/2/2019;HOMBRE;22;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE DETENCIÓN/CAPTURA;7/1/2019;HOMBRE;49;ECUATORIANO
ZONA 5;LOS RIOS;BABAHOYO;BOLETA DE APREMIO;3/2/2019;HOMBRE;30;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;CONTRAVENCIONES DE CUARTA CLASE;23/2/2019;HOMBRE;22;VENEZOLANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;2/3/2019;HOMBRE;47;ECUATORIANO
ZONA 5;GUAYAS;DAULE;NOVEDADES;9/1/2019;HOMBRE;23;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;VIOLENCIA PSICOLÓGICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;10/1/2019;HOMBRE;30;ECUATORIANO
ZONA 8;DMG;GUAYAQUIL;NOVEDADES;5/2/2019;HOMBRE;31;ECUATORIANO
ZONA 9;DMQ;QUITO;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;23/1/2019;MUJER;49;COLOMBIANO
ZONA 1;IMBABURA;ANTONIO ANTE;BOLETA DE DETENCIÓN/CAPTURA;28/2/2019;HOMBRE;40;ECUATORIANO
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;6/2/2019;HOMBRE;22;VENEZOLANO
ZONA 8;DMG;GUAYAQUIL;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;18/2/2019;HOMBRE;21;ECUATORIANO
ZONA 5;BOLIVAR;GUARANDA;BOLETA DE DETENCIÓN/CAPTURA;11/2/2019;HOMBRE;54;ECUATORIANO
ZONA 5;LOS RIOS;QUEVEDO;HOMICIDIO;23/2/2019;HOMBRE;25;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE APREMIO;29/1/2019;HOMBRE;34;ECUATORIANO
ZONA 5;BOLIVAR;GUARANDA;BOLETA DE DETENCIÓN/CAPTURA;18/1/2019;HOMBRE;33;ECUATORIANO
ZONA 5;GALAPAGOS;SANTA CRUZ;CONTRAVENCIONES DE PRIMERA CLASE;1/1/2019;HOMBRE;49;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE AUXILIO;25/1/2019;HOMBRE;42;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;NOVEDADES;4/2/2019;HOMBRE;27;ECUATORIANO
ZONA 3;TUNGURAHUA;AMBATO;BOLETA DE DETENCIÓN/CAPTURA;1/3/2019;HOMBRE;33;ECUATORIANO
ZONA 9;DMQ;QUITO;OTROS;20/1/2019;HOMBRE;24;ECUATORIANO
ZONA 7;ZAMORA CHINCHIPE;YANTZAZA;PROCEDIMIENTOS;7/2/2019;HOMBRE;41;ECUATORIANO
ZONA 1;IMBABURA;PIMAMPIRO;NOVEDADES;27/1/2019;HOMBRE;41;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;BOLETA DE APREMIO;11/1/2019;HOMBRE;27;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;DAÑO A BIEN AJENO;24/2/2019;HOMBRE;17;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;VIOLACIÓN;28/2/2019;HOMBRE;29;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;BOLETA DE APREMIO;27/1/2019;HOMBRE;57;ECUATORIANO
ZONA 6;AZUAY;CUENCA;BOLETA DE DETENCIÓN/CAPTURA;8/2/2019;HOMBRE;49;ECUATORIANO
ZONA 7;EL ORO;HUAQUILLAS;VIOLENCIA FÍSICA CONTRA LA MUJER O MIEMBROS DEL NÚCLEO FAMILIAR;26/2/2019;HOMBRE;39;ECUATORIANO
ZONA 9;DMQ;QUITO;NOVEDADES;27/2/2019;HOMBRE;27;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;TENTATIVA ;2/2/2019;HOMBRE;18;ECUATORIANO
ZONA 4;MANABI;MONTECRISTI;LESIONES;23/2/2019;HOMBRE;29;ECUATORIANO
ZONA 5;LOS RIOS;MOCACHE;CONTRAVENCIONES DE TRÁNSITO DE PRIMERA CLASE;17/2/2019;HOMBRE;22;ECUATORIANO
ZONA 4;MANABI;PORTOVIEJO;BOLETA DE APREMIO;27/1/2019;HOMBRE;31;ECUATORIANO
ZONA 9;DMQ;QUITO;BOLETA DE AUXILIO;10/2/2019;HOMBRE;56;ECUATORIANO
ZONA 1;CARCHI;TULCAN;TRÁFICO ILÍCITO DE SUSTANCIAS CATALOGADAS SUJETAS A FISCALIZACIÓN;25/1/2019;HOMBRE;30;COLOMBIANO
ZONA 9;DMQ;QUITO;OTROS;5/1/2019;HOMBRE;22;COLOMBIANO
ZONA 3;CHIMBORAZO;RIOBAMBA;ROBO A PERSONAS;26/1/2019;HOMBRE;27;ECUATORIANO
ZONA 1;SUCUMBIOS;LAGO AGRIO;BOLETA DE DETENCIÓN/CAPTURA;8/1/2019;HOMBRE;33;ECUATORIANO
ZONA 4;MANABI;MANTA;CONTRAVENCIÓN DE HURTO;18/2/2019;HOMBRE;SIN DATO;VENEZOLANO
ZONA 5;LOS RIOS;QUEVEDO;RECEPTACIÓN;9/2/2019;HOMBRE;35;ECUATORIANO
ZONA 6;AZUAY;CUENCA;OTROS;20/1/2019;HOMBRE;21;ECUATORIANO
ZONA 7;LOJA;LOJA;CONTRAVENCIONES DE SEGUNDA CLASE;13/2/2019;HOMBRE;35;ECUATORIANO
ZONA 7;EL ORO;SANTA ROSA;NOVEDADES;23/1/2019;HOMBRE;30;ECUATORIANO
ZONA 1;IMBABURA;IBARRA;INGRESO DE ARTÍCULOS PROHIBIDOS;1/2/2019;HOMBRE;33;ECUATORIANO
ZONA 7;EL ORO;SANTA ROSA;CONDUCCIÓN DE VEHÍCULO EN ESTADO DE EMBRIAGUEZ;7/2/2019;HOMBRE;45;ECUATORIANO
ZONA 4;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;BOLETA DE APREMIO;11/1/2019;HOMBRE;32;ECUATORIANO
ZONA 3;TUNGURAHUA;QUERO;BOLETA DE APREMIO;29/1/2019;HOMBRE;26;ECUATORIANO
ZONA 9;DMQ;QUITO;HURTO;15/2/2019;HOMBRE;28;COLOMBIANO
ZONA 7;EL ORO;EL GUABO;BOLETA DE APREMIO;18/2/2019;HOMBRE;38;ECUATORIANO
ZONA 5;BOLIVAR;GUARANDA;BOLETA DE DETENCIÓN/CAPTURA;14/1/2019;HOMBRE;27;ECUATORIANO
ZONA 7;EL ORO;MACHALA;BOLETA DE APREMIO;8/2/2019;HOMBRE;50;ECUATORIANO
